UserID;Gender;Age;Occupation;Zip-code
5176;M;Under 18;K-12 student;60423
884;M;Under 18;K-12 student;49454
4158;F;Under 18;K-12 student;90039
1425;M;Under 18;K-12 student;8872
4541;M;Under 18;K-12 student;55427
4086;F;Under 18;K-12 student;55391
2108;M;Under 18;K-12 student;60462
2810;F;Under 18;K-12 student;64093
1096;M;Under 18;K-12 student;80439
2687;M;Under 18;K-12 student;8805
4413;M;Under 18;retired;37130
1163;M;Under 18;K-12 student;70448
153;M;Under 18;K-12 student;51537
737;M;Under 18;unemployed;53711
940;M;Under 18;K-12 student;76240
3573;M;Under 18;K-12 student;48867
871;M;Under 18;K-12 student;76013
5973;M;Under 18;K-12 student;54701
3028;M;Under 18;K-12 student;12701
2418;F;Under 18;K-12 student;6074
5989;F;Under 18;K-12 student;74114
753;M;Under 18;K-12 student;42754
1056;M;Under 18;other;48133
5118;M;Under 18;K-12 student;95123
2189;M;Under 18;K-12 student;60148
4294;M;Under 18;K-12 student;75633
2047;M;Under 18;K-12 student;6437
1280;M;Under 18;K-12 student;97801
2166;M;Under 18;K-12 student;99203
4997;M;Under 18;K-12 student;90210
1948;M;Under 18;K-12 student;93111
3594;M;Under 18;other;2322
4606;F;Under 18;K-12 student;90291
4431;M;Under 18;sales/marketing;80401
1;F;Under 18;K-12 student;48067
3316;M;Under 18;unemployed;92557
2202;F;Under 18;K-12 student;11743
2024;M;Under 18;unemployed;6614
2052;M;Under 18;K-12 student;46033
4707;M;Under 18;other;92804
5173;M;Under 18;K-12 student;60423
1910;M;Under 18;K-12 student;94707
470;F;Under 18;K-12 student;55068
3865;F;Under 18;K-12 student;95864
629;F;Under 18;K-12 student;48154
1434;F;Under 18;K-12 student;495321
4006;M;Under 18;executive/managerial;48038
2657;F;Under 18;K-12 student;47403
5953;M;Under 18;K-12 student;21030
1054;M;Under 18;K-12 student;75040
1673;M;Under 18;K-12 student;98043-3621
5411;F;Under 18;unemployed;14850
86;F;Under 18;K-12 student;54467
2042;M;Under 18;K-12 student;79358
2155;F;Under 18;K-12 student;50246
5255;M;Under 18;K-12 student;55305
1263;M;Under 18;K-12 student;81301
2235;M;Under 18;K-12 student;46324
1928;M;Under 18;K-12 student;94501
906;M;Under 18;K-12 student;71106
5063;F;Under 18;K-12 student;22801
979;M;Under 18;K-12 student;48073
1563;F;Under 18;K-12 student;87123
3780;M;Under 18;other;46979
2060;M;Under 18;academic/educator;48304
5524;F;Under 18;K-12 student;26505
5525;F;Under 18;K-12 student;55311
3667;F;Under 18;K-12 student;10706
5555;M;Under 18;K-12 student;37830
1478;M;Under 18;K-12 student;92620
19;M;Under 18;K-12 student;48073
3904;M;Under 18;K-12 student;48445
5642;M;Under 18;K-12 student;73013
1220;M;Under 18;K-12 student;48073
2162;F;Under 18;K-12 student;35810
4493;F;Under 18;K-12 student;10025
3843;F;Under 18;K-12 student;32043
490;M;Under 18;K-12 student;55345
1187;F;Under 18;other;90210
3604;F;Under 18;K-12 student;2879
4056;M;Under 18;K-12 student;28270
4256;F;Under 18;artist;78945
5662;M;Under 18;K-12 student;7960
4135;M;Under 18;K-12 student;46321
5390;M;Under 18;other;78130
5403;M;Under 18;K-12 student;59801
1468;M;Under 18;sales/marketing;19147
1088;F;Under 18;K-12 student;98103
4807;M;Under 18;artist;4101
926;M;Under 18;K-12 student;7869
1366;M;Under 18;K-12 student;89509
5247;F;Under 18;K-12 student;1915
3298;M;Under 18;K-12 student;20876
5716;M;Under 18;K-12 student;3756
3046;M;Under 18;college/grad student;46311
5840;F;Under 18;other;44260
1154;F;Under 18;K-12 student;53545
1421;F;Under 18;K-12 student;53704
5756;F;Under 18;K-12 student;98110
743;F;Under 18;artist;60660
4087;M;Under 18;college/grad student;63376
2285;F;Under 18;K-12 student;13090
5302;F;Under 18;K-12 student;2332
484;F;Under 18;K-12 student;55104
1509;M;Under 18;other;11803
829;M;Under 18;unemployed;53711
3382;F;Under 18;K-12 student;55305
3537;M;Under 18;K-12 student;97402
1327;M;Under 18;K-12 student;12159
5803;M;Under 18;K-12 student;1597
1195;F;Under 18;K-12 student;13907
1296;M;Under 18;other;75244
2244;M;Under 18;K-12 student;60565
2003;M;Under 18;K-12 student;80014
1308;M;Under 18;K-12 student;75082
99;F;Under 18;K-12 student;19390
1200;M;Under 18;other;97222
1353;M;Under 18;K-12 student;95926
2245;M;Under 18;K-12 student;60007
745;M;Under 18;K-12 student;90004
4572;F;Under 18;K-12 student;17036
2350;M;18-24;college/grad student;44312
1975;M;18-24;college/grad student;97361
1409;M;18-24;college/grad student;97215
2993;M;18-24;unemployed;12133
3756;M;18-24;programmer;53188
3504;M;18-24;executive/managerial;2215
5458;F;18-24;artist;98102
426;M;18-24;college/grad student;55455
3830;M;18-24;college/grad student;60630
3034;F;18-24;academic/educator;33143
2146;M;18-24;artist;96002
781;M;18-24;college/grad student;95076
821;M;18-24;artist;14456
3911;M;18-24;other;92037
1677;M;18-24;sales/marketing;97123
5646;M;18-24;college/grad student;96744
3971;F;18-24;college/grad student;80228
778;M;18-24;technician/engineer;32694
3070;F;18-24;college/grad student;10708
1261;M;18-24;college/grad student;40205
1733;M;18-24;sales/marketing;43725
3522;M;18-24;other;97469
394;M;18-24;other;55013
2495;F;18-24;college/grad student;56401
881;M;18-24;sales/marketing;76401
3766;F;18-24;academic/educator;45458
3297;M;18-24;college/grad student;91325
5491;M;18-24;executive/managerial;10016
5546;M;18-24;sales/marketing;26301
5632;F;18-24;college/grad student;78628
3199;M;18-24;other;57106
4567;M;18-24;college/grad student;98105
4323;M;18-24;college/grad student;82072
2461;M;18-24;college/grad student;98117
3152;M;18-24;college/grad student;61801
1450;M;18-24;college/grad student;94704
1514;M;18-24;college/grad student;97215
3659;M;18-24;college/grad student;29649
3164;M;18-24;programmer;55118
5081;F;18-24;college/grad student;19102
4012;M;18-24;college/grad student;49503-1313
5013;M;18-24;college/grad student;26241
2894;M;18-24;college/grad student;44130
1420;M;18-24;college/grad student;1375
3031;M;18-24;college/grad student;48135
203;F;18-24;college/grad student;53715
4969;M;18-24;unemployed;94111
5254;M;18-24;college/grad student;32606
5061;F;18-24;unemployed;5070
4346;M;18-24;technician/engineer;45701
3871;M;18-24;college/grad student;64468
2937;F;18-24;college/grad student;48103
1755;F;18-24;college/grad student;77005
2083;M;18-24;college/grad student;64920
5160;F;18-24;college/grad student;90066
4378;M;18-24;technician/engineer;6040
5909;M;18-24;writer;91330
1086;M;18-24;college/grad student;98225
738;M;18-24;technician/engineer;99205
1125;F;18-24;college/grad student;53715
5682;M;18-24;other;23455-4959
3069;M;18-24;college/grad student;97470
4411;M;18-24;college/grad student;92122
2789;M;18-24;college/grad student;90025
5704;F;18-24;college/grad student;90024
4397;M;18-24;college/grad student;43402
3048;M;18-24;artist;2066
1517;M;18-24;other;10002
5400;F;18-24;college/grad student;30010
3922;M;18-24;college/grad student;53211
2800;F;18-24;college/grad student;73070
5401;F;18-24;academic/educator;20003
3869;M;18-24;technician/engineer;63544
4648;M;18-24;college/grad student;73071
4300;F;18-24;college/grad student;98125
2992;M;18-24;college/grad student;14853
268;F;18-24;programmer;29708
896;M;18-24;scientist;94015
3913;M;18-24;technician/engineer;40207
52;M;18-24;college/grad student;72212
1795;M;18-24;technician/engineer;20724
2591;M;18-24;academic/educator;50310
18;F;18-24;clerical/admin;95825
438;M;18-24;lawyer;53705
166;M;18-24;college/grad student;92802
5417;M;18-24;technician/engineer;19030
4660;F;18-24;college/grad student;6074
2093;M;18-24;other;48322
3857;M;18-24;sales/marketing;8822
3518;F;18-24;executive/managerial;11215
5598;M;18-24;college/grad student;27607
34;F;18-24;other;2135
3716;M;18-24;programmer;36115
3788;F;18-24;other;94587
404;M;18-24;college/grad student;10128
747;M;18-24;college/grad student;98606
5495;F;18-24;college/grad student;95076
2970;M;18-24;college/grad student;48104
3029;M;18-24;college/grad student;92037
143;M;18-24;clerical/admin;64043
569;F;18-24;college/grad student;97339
5471;M;18-24;executive/managerial;10016
1647;M;18-24;tradesman/craftsman;98118
789;M;18-24;academic/educator;67212
5032;M;18-24;technician/engineer;2139
3610;M;18-24;doctor/health care;30064
5547;F;18-24;college/grad student;10025
4629;F;18-24;college/grad student;94309
3942;M;18-24;college/grad student;49855
3120;M;18-24;college/grad student;55414
1341;M;18-24;executive/managerial;11434
3752;F;18-24;academic/educator;86314
5951;M;18-24;college/grad student;77005
2114;M;18-24;tradesman/craftsman;21740
1152;M;18-24;college/grad student;30328
3648;M;18-24;college/grad student;85210
372;F;18-24;college/grad student;72227
5094;M;18-24;K-12 student;67206
947;M;18-24;other;21015
621;M;18-24;college/grad student;93560
605;F;18-24;college/grad student;44425
4412;M;18-24;college/grad student;16802
3512;M;18-24;technician/engineer;2140
3202;F;18-24;college/grad student;24060
3134;M;18-24;college/grad student;55455
4008;M;18-24;academic/educator;92802
2838;M;18-24;academic/educator;95864
2486;M;18-24;programmer;98105
4352;M;18-24;college/grad student;11010
5684;M;18-24;self-employed;94110
352;M;18-24;college/grad student;60115
4407;M;18-24;college/grad student;2143
5568;M;18-24;college/grad student;49841
1779;M;18-24;academic/educator;78133
5683;F;18-24;homemaker;94538
5216;M;18-24;artist;81291
3327;M;18-24;programmer;91423
3027;M;18-24;college/grad student;85719
3907;F;18-24;sales/marketing;22201
1773;M;18-24;college/grad student;7030
73;M;18-24;college/grad student;53706
473;F;18-24;college/grad student;55112
3881;M;18-24;artist;44515
3516;M;18-24;college/grad student;42101
3442;M;18-24;programmer;20878
585;M;18-24;academic/educator;53703
1120;M;18-24;college/grad student;95616
1806;M;18-24;college/grad student;22032
2084;M;18-24;college/grad student;23186
3581;M;18-24;academic/educator;57382
3484;M;18-24;college/grad student;28403
3111;M;18-24;college/grad student;56520
694;M;18-24;college/grad student;76401
742;M;18-24;other;54758
1832;F;18-24;college/grad student;14433
4871;M;18-24;programmer;4096
3166;M;18-24;college/grad student;32607
5959;F;18-24;college/grad student;14850
2152;M;18-24;college/grad student;22807
3800;M;18-24;academic/educator;45458
5944;F;18-24;K-12 student;27606
5619;F;18-24;college/grad student;22310
3625;M;18-24;K-12 student;48439
1957;F;18-24;college/grad student;23185
3486;F;18-24;other;98225
3831;F;18-24;doctor/health care;84780
5644;F;18-24;college/grad student;92833
828;M;18-24;college/grad student;70817
4350;M;18-24;artist;29118
224;F;18-24;college/grad student;14850
1426;M;18-24;sales/marketing;94070
882;M;18-24;artist;1720
357;M;18-24;other;98103
4249;F;18-24;technician/engineer;65203
1393;M;18-24;college/grad student;6430
3294;M;18-24;college/grad student;78749
4887;M;18-24;artist;19072
2620;M;18-24;college/grad student;47306
4889;M;18-24;college/grad student;63108
1113;M;18-24;college/grad student;97215
1933;M;18-24;unemployed;94703
5348;M;18-24;customer service;55414
3296;M;18-24;sales/marketing;90292
2908;M;18-24;artist;74403
4101;M;18-24;college/grad student;23233
4047;M;18-24;college/grad student;30606
2996;M;18-24;other;63011
1724;M;18-24;college/grad student;961
4849;F;18-24;college/grad student;44515
5007;F;18-24;college/grad student;91030
3806;M;18-24;college/grad student;55104
894;M;18-24;college/grad student;31602
2274;M;18-24;artist;31401
774;M;18-24;college/grad student;22903
2446;M;18-24;executive/managerial;10038
572;M;18-24;college/grad student;61801
4349;M;18-24;artist;95843
4754;F;18-24;other;91107
561;F;18-24;sales/marketing;64060
2116;M;18-24;college/grad student;49546
2782;F;18-24;college/grad student;48858
4371;F;18-24;college/grad student;63109
3004;F;18-24;college/grad student;2138
2172;M;18-24;writer;60641
3333;M;18-24;self-employed;29404-2205
5350;M;18-24;customer service;55344
3259;F;18-24;college/grad student;95616
5246;F;18-24;other;64030
5280;M;18-24;college/grad student;12604
4799;F;18-24;college/grad student;2809
652;M;18-24;writer;12222
1702;M;18-24;K-12 student;97303
2837;M;18-24;other;49506
5042;F;18-24;artist;55408
5935;M;18-24;other;35115
1785;M;18-24;college/grad student;4901
2014;M;18-24;college/grad student;53233
1060;M;18-24;K-12 student;11235
4620;F;18-24;technician/engineer;94606
495;M;18-24;K-12 student;55421
5011;M;18-24;college/grad student;64154
2138;F;18-24;college/grad student;88119
4523;M;18-24;artist;55304
321;M;18-24;college/grad student;55128
1196;F;18-24;sales/marketing;22203
3479;M;18-24;college/grad student;78626
4675;F;18-24;college/grad student;27514
199;M;18-24;college/grad student;83706
3728;M;18-24;college/grad student;7030
3715;M;18-24;customer service;55428
192;M;18-24;academic/educator;10977
3051;M;18-24;technician/engineer;94063
3725;M;18-24;college/grad student;32608
1735;M;18-24;writer;30605
84;M;18-24;college/grad student;53140
229;M;18-24;K-12 student;4576
855;F;18-24;artist;72701
453;M;18-24;college/grad student;55102
355;M;18-24;clerical/admin;55107
2763;F;18-24;college/grad student;48104
2630;F;18-24;customer service;78704
4423;M;18-24;college/grad student;52241
3495;M;18-24;college/grad student;94608
1226;M;18-24;writer;7087
2886;M;18-24;college/grad student;60073
3584;M;18-24;other;76543
746;F;18-24;unemployed;95019
5158;F;18-24;college/grad student;44509
890;M;18-24;college/grad student;92153
5156;M;18-24;sales/marketing;10024
5688;F;18-24;college/grad student;78666
994;M;18-24;artist;92109
2099;F;18-24;other;48823
1681;M;18-24;college/grad student;78705
845;F;18-24;other;20009
3631;M;18-24;college/grad student;77005
832;M;18-24;artist;19464
718;M;18-24;artist;90211
2900;M;18-24;programmer;95120
4117;M;18-24;college/grad student;43551
1495;M;18-24;other;77341
5884;M;18-24;college/grad student;20057
540;M;18-24;academic/educator;15213
2239;M;18-24;K-12 student;60148
1678;F;18-24;technician/engineer;97070
5419;F;18-24;programmer;5055
3967;F;18-24;artist;13603
5826;M;18-24;college/grad student;60201
365;F;18-24;college/grad student;2138
1578;M;18-24;college/grad student;22201
1754;M;18-24;unemployed;27028
5709;M;18-24;college/grad student;90024
1529;M;18-24;college/grad student;97266
1596;F;18-24;customer service;48108
2879;M;18-24;college/grad student;60062
4536;M;18-24;programmer;53715
2077;M;18-24;other;55112
5985;F;18-24;college/grad student;78705-5221
3801;M;18-24;programmer;36115
4747;M;18-24;college/grad student;26201
4949;M;18-24;college/grad student;55104
3322;F;18-24;college/grad student;68516
5167;M;18-24;scientist;6114
2987;M;18-24;college/grad student;15213
46;M;18-24;unemployed;75602
2973;F;18-24;college/grad student;48108
3580;F;18-24;clerical/admin;32219
3133;M;18-24;college/grad student;33720
1232;F;18-24;college/grad student;43235
3850;M;18-24;clerical/admin;92278
589;M;18-24;artist;90210
2988;F;18-24;doctor/health care;92122
3389;M;18-24;other;13603
671;M;18-24;college/grad student;61761
1020;M;18-24;writer;93455
4516;M;18-24;college/grad student;53142
3834;M;18-24;artist;2322
1728;M;18-24;college/grad student;11710-1641
920;M;18-24;college/grad student;92173
4338;F;18-24;customer service;46222
4400;F;18-24;college/grad student;43402
2270;M;18-24;academic/educator;14620
2824;M;18-24;college/grad student;2111
5666;M;18-24;self-employed;11209
640;M;18-24;college/grad student;47406
3802;M;18-24;other;94520
3101;M;18-24;scientist;91101
1133;M;18-24;artist;90038
860;M;18-24;other;78237
41;F;18-24;college/grad student;15116
716;M;18-24;college/grad student;98188
5628;M;18-24;college/grad student;90024
5449;M;18-24;programmer;1702
3077;M;18-24;college/grad student;43202
2595;M;18-24;college/grad student;15213
1137;M;18-24;college/grad student;13165
620;M;18-24;other;13210
3454;M;18-24;other;92122
5715;M;18-24;college/grad student;90024
1992;M;18-24;college/grad student;85259
5578;F;18-24;academic/educator;2109
817;M;18-24;college/grad student;41076
5639;F;18-24;college/grad student;62025
4814;M;18-24;sales/marketing;80526
1562;M;18-24;writer;43611
665;M;18-24;artist;13317
298;F;18-24;college/grad student;19010
5784;M;18-24;K-12 student;56137
3398;M;18-24;writer;30033
542;M;18-24;college/grad student;78705
3557;M;18-24;customer service;48185
4475;M;18-24;college/grad student;10020
2854;F;18-24;college/grad student;64151
428;F;18-24;college/grad student;55455
2734;F;18-24;college/grad student;2912
5898;F;18-24;other;2143
3062;M;18-24;college/grad student;3106
714;M;18-24;college/grad student;76013
3509;M;18-24;college/grad student;2115
5269;M;18-24;other;37211
3506;M;18-24;programmer;80503
555;M;18-24;college/grad student;53213
3471;M;18-24;college/grad student;80302
1006;M;18-24;college/grad student;53220
1805;M;18-24;college/grad student;22401
3825;M;18-24;academic/educator;6279
5932;M;18-24;sales/marketing;90038
4699;F;18-24;other;91765
5913;F;18-24;other;47901
5664;M;18-24;college/grad student;48363
2023;M;18-24;college/grad student;56001
5745;F;18-24;college/grad student;90024
4693;M;18-24;academic/educator;60626
5791;M;18-24;college/grad student;44074
1783;M;18-24;college/grad student;10027
5919;M;18-24;other;47933
1418;M;18-24;college/grad student;48197
2976;M;18-24;writer;86001
4823;M;18-24;college/grad student;46219
3734;M;18-24;college/grad student;77840
1911;F;18-24;college/grad student;92805
990;M;18-24;doctor/health care;10004
213;F;18-24;college/grad student;1609
2694;M;18-24;college/grad student;90024
763;M;18-24;K-12 student;2882
1430;M;18-24;college/grad student;97215
2403;M;18-24;college/grad student;37743
5780;M;18-24;technician/engineer;92886
787;M;18-24;college/grad student;77802
4791;M;18-24;college/grad student;55116
4592;M;18-24;college/grad student;66044
5444;F;18-24;college/grad student;55449
25;M;18-24;college/grad student;1609
1557;F;18-24;college/grad student;10039
5754;F;18-24;academic/educator;60640
5084;M;18-24;college/grad student;10013
1102;M;18-24;academic/educator;55408
3434;M;18-24;college/grad student;48867
5492;M;18-24;college/grad student;55104
1433;F;18-24;sales/marketing;49505
5936;M;18-24;college/grad student;37130
1384;M;18-24;K-12 student;98058
3065;F;18-24;college/grad student;48135
4198;M;18-24;college/grad student;80631
715;M;18-24;other;53715
2258;F;18-24;college/grad student;10033
3391;M;18-24;college/grad student;48135
2480;F;18-24;writer;94410
807;M;18-24;college/grad student;89015
126;M;18-24;homemaker;98117
2792;M;18-24;college/grad student;2452
5705;F;18-24;college/grad student;90024
489;M;18-24;college/grad student;55455
1664;F;18-24;college/grad student;76707
1721;M;18-24;unemployed;70043
4810;M;18-24;programmer;80526
371;M;18-24;college/grad student;2141
301;M;18-24;college/grad student;61820
4958;M;18-24;executive/managerial;55403
5397;M;18-24;other;60451
378;F;18-24;other;55105
3172;M;18-24;programmer;55408
2299;F;18-24;K-12 student;13090
1711;F;18-24;college/grad student;30134
582;M;18-24;college/grad student;67042
4761;M;18-24;scientist;21042
2106;F;18-24;writer;495321
3861;M;18-24;college/grad student;12604
336;M;18-24;other;98765
4919;M;18-24;other;84058
626;M;18-24;college/grad student;77005
2207;M;18-24;college/grad student;7508
3590;F;18-24;scientist;2115
4399;F;18-24;college/grad student;43403
3270;M;18-24;lawyer;45220
4465;M;18-24;college/grad student;2148
1237;M;18-24;college/grad student;32720
165;M;18-24;self-employed;98502
2076;M;18-24;college/grad student;13165
2157;F;18-24;clerical/admin;45244
465;M;18-24;unemployed;94523
5290;F;18-24;college/grad student;60613
2944;F;18-24;college/grad student;48104
152;M;18-24;college/grad student;48104
5482;M;18-24;executive/managerial;10014
136;M;18-24;artist;21202
524;M;18-24;other;91320
1858;F;18-24;college/grad student;59715
1091;M;18-24;customer service;345567
4821;M;18-24;unemployed;75080
1962;F;18-24;academic/educator;60914
3729;M;18-24;college/grad student;20037
1863;M;18-24;college/grad student;90048
3417;F;18-24;artist;14616
3387;M;18-24;academic/educator;94706
5510;M;18-24;college/grad student;191004
295;M;18-24;other;80203
1622;M;18-24;college/grad student;53715
5388;F;18-24;college/grad student;10580
3008;M;18-24;college/grad student;94403
784;M;18-24;other;11040
2191;M;18-24;college/grad student;45231
2968;F;18-24;other;48104
4551;M;18-24;programmer;60622
57;M;18-24;unemployed;30350
2847;M;18-24;college/grad student;10027
666;F;18-24;other;8540
2712;F;18-24;unemployed;33953
4910;M;18-24;programmer;84041
1842;M;18-24;college/grad student;53190
3459;M;18-24;college/grad student;76266
4446;M;18-24;tradesman/craftsman;60435
1234;M;18-24;college/grad student;91006
2977;F;18-24;college/grad student;48104
3343;F;18-24;college/grad student;79912
200;F;18-24;college/grad student;84321
5891;M;18-24;college/grad student;55404
5530;F;18-24;college/grad student;63141
4686;M;18-24;academic/educator;50201
311;M;18-24;college/grad student;31201
3163;M;18-24;scientist;95616
4938;F;18-24;college/grad student;55406
2015;M;18-24;college/grad student;1003
3349;F;18-24;college/grad student;92054
1174;F;18-24;self-employed;91780
5064;M;18-24;college/grad student;43215
2144;M;18-24;other;46517
4611;F;18-24;college/grad student;78705
1414;M;18-24;college/grad student;85035
3503;M;18-24;college/grad student;59715
202;M;18-24;college/grad student;53706
1778;M;18-24;college/grad student;94704
699;M;18-24;other;73505
1381;M;18-24;lawyer;89170
1491;M;18-24;college/grad student;6511
5830;F;18-24;college/grad student;78209
1313;M;18-24;college/grad student;43214
4041;M;18-24;clerical/admin;48005
3128;M;18-24;artist;10012
1556;M;18-24;college/grad student;48073
3244;F;18-24;college/grad student;92647
4590;F;18-24;writer;55104
698;M;18-24;college/grad student;76401
457;M;18-24;college/grad student;54703
1951;F;18-24;college/grad student;90630
3868;M;18-24;programmer;73112
4812;M;18-24;sales/marketing;25301
392;M;18-24;executive/managerial;20037
3225;M;18-24;other;15237
1676;M;18-24;college/grad student;91301
1254;F;18-24;academic/educator;2144
4851;M;18-24;technician/engineer;44406
3197;F;18-24;sales/marketing;94110
4998;F;18-24;college/grad student;48433
182;M;18-24;college/grad student;3052
720;M;18-24;other;55129
5377;F;18-24;clerical/admin;10017
4596;F;18-24;college/grad student;94611
5365;M;18-24;programmer;90250
248;M;18-24;technician/engineer;72703
257;M;18-24;tradesman/craftsman;55113
5218;M;18-24;other;89129
1855;M;18-24;college/grad student;93004
401;M;18-24;other;55129
5050;F;18-24;college/grad student;11024
3351;F;18-24;customer service;92870
370;M;18-24;technician/engineer;22304
423;M;18-24;college/grad student;55455
1186;M;18-24;unemployed;98502
273;M;18-24;college/grad student;55427
3433;M;18-24;programmer;55113
5453;M;18-24;college/grad student;30305
3690;M;18-24;other;63116
5964;M;18-24;customer service;97202
4374;M;18-24;college/grad student;43201
5198;F;18-24;college/grad student;55118
3001;M;18-24;college/grad student;94704
1283;F;18-24;academic/educator;94607
3605;M;18-24;programmer;60640
5851;F;18-24;writer;55410
1828;M;18-24;college/grad student;7030
4402;F;18-24;sales/marketing;43614
4922;M;18-24;technician/engineer;98121
1302;M;18-24;college/grad student;85282
131;M;18-24;college/grad student;6520
21;M;18-24;self-employed;99353
197;M;18-24;sales/marketing;10023
3536;M;18-24;college/grad student;57103
5455;F;18-24;technician/engineer;55449
4859;F;18-24;sales/marketing;50401
5360;M;18-24;programmer;43650
4514;M;18-24;clerical/admin;48604
869;M;18-24;writer;92026
5847;F;18-24;college/grad student;2464
272;M;18-24;other;80302
189;M;18-24;other;60076
1765;M;18-24;college/grad student;13655
5569;F;18-24;academic/educator;7666
995;F;18-24;college/grad student;96803
2926;F;18-24;artist;55118
4410;M;18-24;unemployed;40475
3063;M;18-24;college/grad student;3106
337;M;18-24;unemployed;80205
4009;M;18-24;executive/managerial;44039
1483;M;18-24;college/grad student;54481
5030;M;18-24;academic/educator;70006
274;M;18-24;college/grad student;55455
176;F;18-24;clerical/admin;55016
6031;F;18-24;other;45123
2954;M;18-24;artist;11435
686;M;18-24;college/grad student;27514
2590;M;18-24;college/grad student;94044
2035;F;18-24;other;45212
5147;M;18-24;other;48314
1725;M;18-24;unemployed;67218
1710;M;18-24;other;94530
5760;M;18-24;programmer;10549
181;M;18-24;technician/engineer;33186
3373;M;18-24;self-employed;94709
2160;F;18-24;unemployed;46556
2684;F;18-24;other;19143
1626;M;18-24;college/grad student;10010
3579;M;18-24;other;32219
3571;M;18-24;college/grad student;10044
92;F;18-24;college/grad student;44243
3622;M;18-24;academic/educator;2446
961;M;18-24;K-12 student;10016
4689;M;18-24;programmer;2215
1558;M;18-24;doctor/health care;60611
1629;M;18-24;college/grad student;10003
662;M;18-24;college/grad student;99163
4555;F;18-24;homemaker;73008
302;M;18-24;college/grad student;4901
5730;M;18-24;other;94111
2062;M;18-24;college/grad student;44646
5605;F;18-24;artist;95008
5957;M;18-24;writer;2038
4383;F;18-24;college/grad student;93940
